Record Length,20480










Source,CH1,CH2
Second,Volt,Volt
-0.01947600000,2.60000,2.48000
-0.01947400000,2.56000,2.44000
-0.01947200000,2.56000,2.44000
-0.01947000000,2.56000,2.44000
-0.01946800000,2.60000,2.44000
-0.01946600000,2.56000,2.44000
-0.01946399844,2.56000,2.44000
-0.01946200000,2.56000,2.44000
-0.01946000000,2.56000,2.44000
-0.01945800000,2.60000,2.48000
-0.01945599844,2.56000,2.40000
-0.01945400000,2.60000,2.44000
-0.01945200000,2.72000,2.56000
-0.01945000000,2.60000,2.48000
-0.01944799844,2.60000,2.44000
-0.01944600000,2.56000,2.44000
-0.01944400000,2.56000,2.44000
-0.01944200000,2.56000,2.44000
-0.01944000156,2.56000,2.44000
-0.01943800000,2.56000,2.44000
-0.01943600000,2.60000,2.44000
-0.01943400000,2.56000,2.40000
-0.01943200156,2.56000,2.44000
-0.01943000000,2.60000,2.44000
-0.01942800000,2.56000,2.44000
-0.01942600000,2.52000,2.36000
-0.01942400000,2.56000,2.44000
-0.01942200000,2.60000,2.44000
-0.01942000000,2.56000,2.44000
-0.01941800000,2.56000,2.44000
-0.01941600000,2.60000,2.44000
-0.01941400000,2.60000,2.48000
-0.01941200000,2.56000,2.44000
-0.01941000000,2.60000,2.44000
-0.01940800000,2.60000,2.44000
-0.01940600000,2.60000,2.44000
-0.01940400000,2.56000,2.44000
-0.01940199844,2.56000,2.44000
-0.01940000000,2.52000,2.40000
-0.01939800000,2.56000,2.44000
-0.01939600000,2.60000,2.44000
-0.01939399844,2.56000,2.44000
-0.01939200000,2.68000,2.44000
-0.01939000000,2.56000,2.44000
-0.01938800000,2.60000,2.48000
-0.01938599844,2.56000,2.44000
-0.01938400000,2.56000,2.44000
-0.01938200000,2.56000,2.44000
-0.01938000000,2.56000,2.44000
-0.01937800156,2.56000,2.44000
-0.01937600000,2.56000,2.44000
-0.01937400000,2.56000,2.44000
-0.01937200000,2.56000,2.44000
-0.01937000156,2.60000,2.44000
-0.01936800000,2.56000,2.48000
-0.01936600000,2.52000,2.40000
-0.01936400000,2.56000,2.44000
-0.01936200000,2.56000,2.44000
-0.01936000000,2.60000,2.44000
-0.01935800000,2.56000,2.44000
-0.01935600000,2.56000,2.44000
-0.01935400000,2.60000,2.44000
-0.01935200000,2.60000,2.44000
-0.01935000000,2.56000,2.44000
-0.01934800000,2.52000,2.40000
-0.01934600000,2.60000,2.48000
-0.01934400000,2.60000,2.44000
-0.01934200000,2.56000,2.44000
-0.01933999844,2.80000,2.68000
-0.01933800000,2.56000,2.44000
-0.01933600000,2.56000,2.44000
-0.01933400000,2.56000,2.44000
-0.01933199844,2.56000,2.44000
-0.01933000000,2.56000,2.44000
-0.01932800000,2.56000,2.44000
-0.01932600000,2.56000,2.44000
-0.01932399844,2.60000,2.44000
-0.01932200000,2.56000,2.44000
-0.01932000000,2.56000,2.44000
-0.01931800000,2.56000,2.44000
-0.01931600156,2.56000,2.44000
-0.01931400000,2.72000,2.68000
-0.01931200000,2.56000,2.44000
-0.01931000000,2.60000,2.44000
-0.01930800156,2.56000,2.48000
-0.01930600000,2.60000,2.44000
-0.01930400000,2.56000,2.44000
-0.01930200000,2.52000,2.36000
-0.01930000000,2.56000,2.48000
-0.01929800000,2.56000,2.44000
-0.01929600000,2.60000,2.48000
-0.01929400000,2.56000,2.44000
-0.01929200000,2.56000,2.44000
-0.01929000000,2.56000,2.44000
-0.01928800000,2.48000,2.32000
-0.01928600000,2.56000,2.44000
-0.01928400000,2.56000,2.44000
-0.01928200000,2.56000,2.44000
-0.01928000000,2.56000,2.44000
-0.01927799844,2.56000,2.40000
-0.01927600000,2.56000,2.44000
-0.01927400000,2.60000,2.44000
-0.01927200000,2.60000,2.44000
-0.01926999844,2.60000,2.48000
-0.01926800000,2.60000,2.44000
-0.01926600000,2.60000,2.44000
-0.01926400000,2.56000,2.44000
-0.01926199844,2.48000,2.36000
-0.01926000000,2.56000,2.44000
-0.01925800000,2.56000,2.44000
-0.01925600000,2.56000,2.44000
-0.01925400156,2.56000,2.44000
-0.01925200000,2.56000,2.44000
-0.01925000000,2.56000,2.44000
-0.01924800000,2.56000,2.44000
-0.01924600156,2.56000,2.44000
-0.01924400000,2.60000,2.48000
-0.01924200000,2.56000,2.44000
-0.01924000000,2.56000,2.44000
-0.01923800000,2.56000,2.44000
-0.01923600000,2.48000,2.32000
-0.01923400000,2.56000,2.44000
-0.01923200000,2.56000,2.44000
-0.01923000000,2.56000,2.44000
-0.01922800000,2.56000,2.44000
